home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,status,timestamp,referee,home_team_possession,away_team_possession,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,away_team_yellow_cards,home_team_pre_match_xg,away_team_pre_match_xg,is_cup,home_team_lsi,away_team_lsi
A. Italiano,Palestino,1.0,2.0,complete,1717286400,H. Jona,43.0,57.0,3.0,6.0,3.0,4.0,1.0,1.0,0,1.0,1.0
Everton de Vina,Universidad de Chile,1.0,2.0,complete,1717345800,F. Gilabert,40.0,60.0,4.0,3.0,2.0,0.0,1.0,1.0,0,1.0,1.0
Cobresal,Union La Calera,2.0,1.0,complete,1717354800,C. Garay,50.0,50.0,4.0,5.0,2.0,4.0,1.0,1.0,0,1.0,1.0
Colo Colo,Deportes Copiapo,0.0,1.0,complete,1717363800,J. Lara,70.0,30.0,9.0,1.0,3.0,5.0,1.0,1.0,0,1.0,1.0
Coquimbo Unido,U. Catolica,2.0,0.0,complete,1717372800,R. Carvajal,46.0,54.0,6.0,5.0,1.0,0.0,1.12,0.42,0,1.0,1.0
Coquimbo Unido,Palestino,0.0,0.0,complete,1717709400,C. Garay,53.0,47.0,10.0,3.0,3.0,2.0,1.0,1.0,0,1.0,1.0
Union Espanola,Union La Calera,0.0,1.0,complete,1717801200,M. Vergara,64.0,36.0,4.0,4.0,3.0,4.0,1.0,1.0,0,1.0,1.0
Nublense,Huachipato,3.0,0.0,complete,1718910000,R. Alvarado,44.0,56.0,8.0,6.0,2.0,1.0,2.27,0.51,0,1.0,1.0
Huachipato,Cobreloa,1.0,1.0,complete,1721430000,B. Saravia,62.0,38.0,6.0,5.0,2.0,7.0,1.0,1.0,0,1.0,1.0
Coquimbo Unido,Nublense,1.0,0.0,complete,1721493000,H. Jona,47.0,53.0,7.0,4.0,4.0,3.0,1.0,1.0,0,1.0,1.0
O'Higgins,Deportes Copiapo,2.0,0.0,complete,1721502000,P. Maza,50.0,50.0,3.0,5.0,3.0,2.0,1.0,1.0,0,1.0,1.0
U. Catolica,Union La Calera,2.0,0.0,complete,1721511000,C. Garay,50.0,50.0,0.0,5.0,1.0,2.0,1.0,1.0,0,1.0,1.0
Deportes Iquique,A. Italiano,2.0,1.0,complete,1721520000,G. Philippe,62.0,38.0,6.0,4.0,4.0,1.0,2.23,3.31,0,1.0,1.0
Palestino,Everton de Vina,1.0,4.0,complete,1721579400,M. Vergara,56.0,44.0,2.0,4.0,6.0,5.0,1.08,1.53,0,1.0,1.0
Cobresal,Universidad de Chile,3.0,3.0,complete,1721588400,M. Riquelme,38.0,62.0,8.0,1.0,2.0,1.0,2.4,0.79,0,1.0,1.0
Colo Colo,Union Espanola,2.0,1.0,complete,1721597400,D. Flores,63.0,37.0,13.0,3.0,2.0,3.0,1.0,1.0,0,1.0,1.0
