l_gf,l_gc,l_ppg,l_pos,l_xg,v_gf,v_gc,v_ppg,v_pos,v_xg,target_1x2,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count
2.4,2.2,1.4,49.6,2.034,1.6,0.8,2.0,44.8,1.542,0,3,2,6.0,4.0
1.8,2.0,1.4,48.4,1.262,1.6,1.2,2.0,63.8,1.722,0,2,1,0.0,4.0
1.8,1.0,2.6,54.0,1.668,1.4,1.6,1.2,52.8,1.334,0,2,0,2.0,9.0
0.8,1.4,1.0,47.6,1.434,1.6,2.0,1.4,49.8,1.326,0,3,0,1.0,5.0
2.6,1.2,1.8,58.8,2.206,1.4,2.6,0.4,44.6,1.076,2,1,2,12.0,2.0
1.6,0.6,2.0,42.8,1.466,0.6,0.8,1.0,50.4,1.5960000000000003,2,1,3,4.0,5.0
1.8,1.4,1.6,53.6,2.064,1.8,1.6,1.4,58.8,2.0200000000000005,1,1,1,4.0,3.0
1.2,1.8,1.4,54.6,1.388,1.2,1.2,1.2,55.2,1.54,2,1,2,2.0,9.0
1.4,1.2,1.4,46.4,1.7879999999999998,1.8,1.4,2.0,44.6,1.4979999999999998,2,1,2,7.0,0.0
1.6,1.6,1.4,57.2,1.768,2.0,2.2,1.0,42.6,1.234,2,1,4,7.0,2.0
1.2,1.4,1.0,54.0,1.4060000000000001,1.8,1.0,2.0,43.4,1.432,0,3,0,8.0,1.0
0.6,0.4,1.2,40.6,1.174,2.8,2.4,1.8,48.6,2.2560000000000002,1,0,0,10.0,4.0
1.0,1.6,1.0,49.2,1.446,0.6,1.2,0.8,39.0,1.284,1,2,2,10.0,1.0
1.6,1.4,1.8,63.4,1.9840000000000004,2.2,1.6,1.2,59.8,1.5979999999999999,2,0,4,9.0,3.0
0.8,1.8,0.6,52.4,0.882,1.8,0.8,2.6,55.4,1.564,2,2,3,3.0,10.0
1.4,2.4,0.8,42.6,1.1640000000000001,1.4,0.8,1.6,50.0,1.3940000000000001,1,1,1,4.0,3.0
1.0,0.8,1.4,54.0,1.6220000000000003,1.4,1.8,1.4,47.0,1.706,2,0,2,8.0,3.0
1.6,1.2,2.0,45.4,1.334,1.0,1.8,0.6,51.8,1.008,1,1,1,7.0,6.0
2.2,1.4,1.6,39.6,1.288,1.6,1.4,1.4,46.2,1.682,2,2,4,3.0,4.0
1.0,1.4,1.0,38.6,1.408,1.0,1.2,1.2,51.0,1.54,1,1,1,8.0,9.0
1.8,1.8,1.4,48.0,1.626,1.2,2.2,0.8,53.2,1.452,0,4,1,5.0,4.0
1.6,1.4,1.8,43.4,1.324,1.4,1.8,1.0,41.2,1.3519999999999999,0,1,0,8.0,7.0
1.0,1.6,1.4,45.8,1.11,1.2,1.2,1.0,55.4,1.078,2,2,5,2.0,10.0
1.6,1.0,1.6,52.8,1.442,0.6,0.4,1.2,46.0,1.28,0,4,0,2.0,2.0
2.6,1.0,1.8,56.4,1.832,1.4,1.8,1.4,60.6,1.4540000000000002,1,1,1,7.0,11.0
1.4,1.2,1.6,54.6,1.598,1.4,2.0,1.0,52.4,1.968,0,3,0,3.0,4.0
2.2,1.2,2.6,54.2,1.9140000000000001,1.0,1.8,1.2,63.4,2.0980000000000003,0,2,0,7.0,4.0
1.4,1.6,1.0,41.2,1.22,1.2,1.4,1.2,38.4,1.566,2,0,1,4.0,7.0
0.8,2.6,0.2,49.6,1.0219999999999998,1.2,1.8,1.4,45.2,1.262,0,3,1,3.0,9.0
1.2,1.2,1.4,49.2,1.144,2.2,1.0,2.6,54.4,2.24,1,3,3,5.0,6.0
0.8,1.4,0.8,53.0,0.7799999999999999,1.8,0.8,2.2,56.0,1.738,2,1,5,5.0,7.0
0.2,1.2,0.6,45.0,1.048,2.4,1.8,1.6,47.2,1.1860000000000002,0,4,0,3.0,4.0
0.6,2.0,0.6,59.0,1.9420000000000002,1.6,1.4,1.8,42.4,1.308,0,3,0,8.0,2.0
2.2,1.2,1.6,57.2,1.6620000000000001,2.0,0.8,1.6,54.8,1.3900000000000001,0,2,0,13.0,0.0
0.8,2.4,0.4,50.0,1.8780000000000001,2.4,1.6,2.0,50.0,1.934,0,3,1,10.0,5.0
1.4,1.4,1.6,60.0,1.4140000000000001,1.6,1.4,1.6,47.8,1.4460000000000002,0,3,1,5.0,6.0
2.0,1.8,1.4,44.4,1.9759999999999998,2.0,1.0,1.4,55.2,1.6039999999999999,0,1,0,5.0,9.0
1.2,1.4,1.2,40.8,1.738,1.0,2.0,0.6,60.8,1.834,1,2,2,6.0,8.0
1.8,1.6,1.4,47.2,1.32,1.6,1.4,1.6,47.4,1.2,0,4,2,3.0,4.0
1.2,2.4,0.8,48.4,2.002,1.0,2.2,0.8,53.4,1.05,0,1,0,14.0,1.0
