l_gf,l_gc,l_ppg,l_pos,l_xg,v_gf,v_gc,v_ppg,v_pos,v_xg,is_cup,home_team_lsi,away_team_lsi,target_1x2,home_team_goal_count,away_team_goal_count,home_team_corner_count,away_team_corner_count
0.8,0.8,1.2,48.0,1.222,1.2,1.0,1.2,51.6,1.846,0,1.0,1.0,0,3.0,2.0,8.0,6.0
2.2,1.2,1.6,54.0,2.0100000000000002,0.8,0.6,1.6,44.6,1.412,0,1.0,1.0,1,1.0,1.0,5.0,5.0
1.0,2.0,1.2,46.8,1.19,1.4,0.4,2.6,59.4,1.0559999999999998,0,1.0,1.0,2,0.0,1.0,2.0,2.0
0.8,1.8,0.2,42.0,1.064,1.6,1.4,2.0,43.8,1.95,0,1.0,1.0,1,2.0,2.0,8.0,4.0
1.4,1.6,1.2,45.4,1.168,1.0,1.2,1.0,44.2,1.094,0,1.0,1.0,0,2.0,1.0,9.0,4.0
1.0,1.6,1.0,54.2,1.1960000000000002,1.2,2.2,1.0,46.6,1.096,0,1.0,1.0,0,1.0,0.0,1.0,7.0
0.8,0.8,1.2,47.4,1.234,1.4,1.4,1.6,43.0,1.498,0,1.0,1.0,0,1.0,0.0,1.0,4.0
1.0,2.2,0.8,45.6,1.3820000000000001,0.4,1.4,0.2,44.4,0.95,0,1.0,1.0,1,1.0,1.0,5.0,4.0
1.2,1.4,1.0,44.4,1.3780000000000001,0.6,1.6,1.2,50.0,1.208,0,1.0,1.0,0,2.0,0.0,2.0,4.0
1.2,2.0,0.4,45.6,1.6179999999999999,1.2,1.2,1.0,52.0,1.6700000000000004,0,1.0,1.0,2,2.0,3.0,7.0,5.0
1.6,1.8,1.4,56.2,1.092,1.0,1.2,1.6,50.2,1.042,0,1.0,1.0,0,3.0,1.0,4.0,7.0
2.2,0.0,2.6,61.2,1.154,2.2,1.2,1.6,51.8,1.9739999999999998,0,1.0,1.0,0,1.0,0.0,6.0,5.0
