home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,status,timestamp,referee,home_team_possession,away_team_possession,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,away_team_yellow_cards,home_team_pre_match_xg,away_team_pre_match_xg,is_cup,home_team_lsi,away_team_lsi
Deportes Temuco,D. La Serena,0.0,1.0,complete,1717259400,D. Seguel,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Morning,Deportes Santa Cruz,2.0,1.0,complete,1717268400,R. Alvarado,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Universidad de Concepcion,Santiago Wanderers,1.0,1.0,complete,1717277400,E. Domínguez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Antofagasta,Curico Unido,1.0,1.0,complete,1717345800,M. Riquelme,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Luis,Magallanes,0.0,1.0,complete,1717372800,C. Droguett,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Limache,Barnechea,2.0,2.0,complete,1717452000,R. Farías,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Rangers de Talca,Recoleta,1.0,2.0,complete,1717457400,G. Philippe,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Union San Felipe,San Marcos de Arica,0.0,2.0,complete,1717461000,G. Ahumada,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Wanderers,San Luis,6.0,0.0,complete,1717614000,F. Soriano,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Morning,Recoleta,2.0,1.0,complete,1718047800,F. Reyes,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Temuco,San Marcos de Arica,0.0,0.0,complete,1720897200,F. Gilabert,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Morning,Deportes Limache,1.0,0.0,complete,1720974600,R. Alvarado,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
D. La Serena,Antofagasta,2.0,1.0,complete,1720974600,M. Riquelme,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Union San Felipe,Curico Unido,3.0,1.0,complete,1720983600,F. Soriano,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Universidad de Concepcion,San Luis,1.0,0.0,complete,1720992600,M. Salvo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Barnechea,Deportes Santa Cruz,4.0,2.0,complete,1721156400,F. Reyes,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Rangers de Talca,Magallanes,2.0,3.0,complete,1721156400,F. Jiménez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Wanderers,Recoleta,1.0,1.0,complete,1721165400,C. Droguett,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Limache,Deportes Temuco,0.0,1.0,complete,1721430000,F. Vejar,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Magallanes,D. La Serena,1.0,2.0,complete,1721493000,J. Lara,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Marcos de Arica,Universidad de Concepcion,1.0,1.0,complete,1721502000,F. Reyes,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Antofagasta,Rangers de Talca,1.0,1.0,complete,1721579400,A. Diaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Santa Cruz,Santiago Wanderers,1.0,2.0,complete,1721588400,F. Alveal,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Luis,Santiago Morning,1.0,3.0,complete,1721597400,N. Gamboa,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Recoleta,Union San Felipe,0.0,0.0,complete,1721674800,M. Araos,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Curico Unido,Barnechea,0.0,1.0,complete,1721689200,E. Domínguez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Morning,San Marcos de Arica,0.0,1.0,complete,1722020400,M. Salvo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Rangers de Talca,Deportes Limache,2.0,0.0,complete,1722034800,F. Soriano,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Union San Felipe,San Luis,0.0,0.0,complete,1722097800,G. Ahumada,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Barnechea,Recoleta,0.0,3.0,complete,1722106800,,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Santa Cruz,Curico Unido,1.0,0.0,complete,1722106800,C. Díaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Temuco,Magallanes,1.0,0.0,complete,1722115800,F. Jiménez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Universidad de Concepcion,Antofagasta,2.0,2.0,complete,1722184200,C. Droguett,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Wanderers,D. La Serena,0.0,1.0,complete,1722202200,F. Gilabert,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Limache,San Luis,2.0,1.0,complete,1722380400,F. Jiménez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Magallanes,Universidad de Concepcion,0.0,0.0,complete,1722452400,C. Díaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Recoleta,Deportes Santa Cruz,1.0,0.0,complete,1722452400,M. Quila,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Antofagasta,Deportes Temuco,0.0,1.0,complete,1722463200,F. Reyes,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Wanderers,Union San Felipe,3.0,0.0,complete,1722463200,M. Assadi,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
D. La Serena,Santiago Morning,1.0,0.0,complete,1722472200,M. Riquelme,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Rangers de Talca,Barnechea,3.0,0.0,complete,1722472200,,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Marcos de Arica,Curico Unido,2.0,3.0,complete,1722472200,C. Galaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Union San Felipe,Deportes Santa Cruz,1.0,1.0,complete,1722711600,F. Moya,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Morning,Magallanes,0.0,2.0,complete,1722789000,J. Sepúlveda,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Barnechea,D. La Serena,0.0,3.0,complete,1722789000,,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Temuco,Santiago Wanderers,2.0,0.0,complete,1722798000,C. Díaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Curico Unido,Recoleta,1.0,0.0,complete,1722895200,V. Abarzúa,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Universidad de Concepcion,Deportes Limache,2.0,0.0,complete,1722895200,M. Vergara,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Luis,Rangers de Talca,1.0,2.0,complete,1722904200,F. Reyes,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Marcos de Arica,Antofagasta,1.0,1.0,complete,1722904200,F. Soriano,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Rangers de Talca,Deportes Temuco,1.0,0.0,complete,1723305600,M. Assadi,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Santa Cruz,San Marcos de Arica,1.0,0.0,complete,1723316400,E. Domínguez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Antofagasta,San Luis,1.0,1.0,complete,1723393800,G. Philippe,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Barnechea,Santiago Morning,2.0,0.0,complete,1723393800,F. Jiménez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Magallanes,Santiago Wanderers,2.0,1.0,complete,1723402800,F. Reyes,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
D. La Serena,Curico Unido,1.0,0.0,complete,1723411800,M. Salvo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Recoleta,Universidad de Concepcion,5.0,0.0,complete,1723489200,J. Lara,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Limache,Union San Felipe,1.0,2.0,complete,1723500000,F. Gilabert,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Curico Unido,Deportes Limache,0.0,3.0,complete,1723849200,F. Reyes,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Santa Cruz,Magallanes,3.0,1.0,complete,1723921200,M. Assadi,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Wanderers,Rangers de Talca,4.0,0.0,complete,1723932000,N. Millas,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Union San Felipe,Antofagasta,1.0,1.0,complete,1723998600,M. Salvo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Morning,Deportes Temuco,2.0,1.0,complete,1724007600,G. Philippe,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Marcos de Arica,Recoleta,2.0,1.0,complete,1724016600,A. Diaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Luis,Barnechea,0.0,6.0,complete,1724108400,G. Ahumada,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Universidad de Concepcion,D. La Serena,0.0,1.0,complete,1724108400,Q. Orlando,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Temuco,Union San Felipe,4.0,0.0,complete,1724517000,V. Abarzúa,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Magallanes,Curico Unido,0.0,0.0,complete,1724517000,Q. Orlando,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Rangers de Talca,San Marcos de Arica,0.0,0.0,complete,1724526000,R. Alvarado,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Universidad de Concepcion,Deportes Santa Cruz,4.0,1.0,complete,1724535000,C. Galaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Antofagasta,Santiago Morning,0.0,0.0,complete,1724603400,F. Vejar,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
D. La Serena,San Luis,2.0,0.0,complete,1724612400,A. Diaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Limache,Recoleta,1.0,0.0,complete,1724621400,C. Droguett,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Barnechea,Santiago Wanderers,2.0,1.0,complete,1724713200,M. Araos,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Marcos de Arica,Magallanes,0.0,1.0,complete,1725062400,F. Reyes,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Morning,Rangers de Talca,0.0,1.0,complete,1725121800,F. Jiménez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Deportes Santa Cruz,D. La Serena,1.0,1.0,complete,1725130800,R. Alvarado,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Luis,Deportes Temuco,1.0,1.0,complete,1725139800,G. Ahumada,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Recoleta,Antofagasta,2.0,2.0,complete,1725208200,H. Jona,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Union San Felipe,Barnechea,1.0,2.0,complete,1725217200,F. Soriano,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Santiago Wanderers,Deportes Limache,1.0,1.0,complete,1725226200,C. Galaz,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Curico Unido,Universidad de Concepcion,2.0,3.0,complete,1725321600,V. Abarzúa,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
Barnechea,San Marcos de Arica,1.0,1.0,complete,1725726600,B. Pavez,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
San Luis,Santiago Wanderers,0.0,0.0,complete,1725735600,M. Salvo,50,50,0,0,0,0,1.0,1.0,0,1.0,1.0
